epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4354,3.7109,7.2499,5.69676,4.2216,0.84834,0.85634,0.85722,5e-05,0.09455,4e-05,1e-05,0,0,0,0,3.65695,5.21774,5.95708,4.15738,0,0,0,0.00012495,0.00012495,0.00012495
2,57.4044,3.73853,6.21136,5.70436,4.19656,0.84267,0.84987,0.85263,6e-05,0.09475,4e-05,1e-05,2e-05,0.03165,0,0,3.65713,5.20681,5.95338,4.15455,0,0,0,0.000257804,0.000257804,0.000257804
3,83.8635,3.85289,5.55416,5.63485,4.17259,0.83574,0.84342,0.84618,7e-05,0.09536,2e-05,1e-05,9e-05,0.06931,1e-05,0,3.65877,5.16889,5.91715,4.14741,0,0,0,0.000390218,0.000390218,0.000390218
4,110.263,3.70561,5.1283,5.53238,4.15351,0.82437,0.83392,0.83669,8e-05,0.09676,2e-05,1e-05,8e-05,0.06471,1e-05,0,3.66043,5.04824,5.84287,4.13255,0,0,0,0.000522192,0.000522192,0.000522192
5,136.501,3.72676,4.91639,5.48691,4.12641,0.80982,0.8213,0.82428,7e-05,0.00241,0,0,8e-05,0.00802,0,0,3.64224,4.57906,5.7144,4.10575,0,0,0,0.000653727,0.000653727,0.000653727
6,162.38,3.68032,4.635,5.45697,4.06057,0.79361,0.80448,0.80745,9e-05,0.00762,1e-05,0,8e-05,0.00662,1e-05,0,3.65363,4.38684,5.64113,4.05941,0,0,0,0.000784821,0.000784821,0.000784821
7,188.361,3.66691,4.47864,5.39608,4.01364,0.77999,0.79106,0.79516,7e-05,0.00702,1e-05,0,7e-05,0.00642,1e-05,0,3.6916,4.40539,5.5839,3.96608,0,0,0,0.000824753,0.000824753,0.000824753
8,214.243,3.73018,4.42365,5.41239,3.9333,0.76292,0.77404,0.77807,8e-05,0.00662,0.00063,0.00019,8e-05,0.00622,0.00063,0.00025,3.64014,5.09278,5.93183,4.07087,0,0,0,0.000823379,0.000823379,0.000823379
9,240.31,3.53666,4.41452,5.31597,3.865,0.74461,0.75661,0.75948,9e-05,0.00762,5e-05,1e-05,8e-05,0.00682,5e-05,1e-05,3.61129,4.51789,5.65141,3.91052,0,0,0,0.000822004,0.000822004,0.000822004
10,266.254,3.46733,4.49977,5.20572,3.76344,0.72774,0.74099,0.74318,0.0001,0.00762,3e-05,1e-05,9e-05,0.00682,3e-05,1e-05,3.49944,4.47597,5.51713,3.98045,0,0,0,0.00082063,0.00082063,0.00082063
11,292.365,3.38313,4.42439,5.15572,3.68105,0.71004,0.72421,0.72543,0.00024,0.02486,8e-05,1e-05,0.00023,0.01541,3e-05,1e-05,3.4105,4.54545,5.54099,3.76763,0,0,0,0.000819255,0.000819255,0.000819255
12,318.737,3.23482,4.41181,5.03255,3.60757,0.69354,0.7075,0.70925,0.00032,0.02508,5e-05,1e-05,0.00019,0.01705,3e-05,1e-05,3.32144,4.4881,7.32628,3.64275,0,0,0,0.000817881,0.000817881,0.000817881
13,345.127,3.31826,4.3509,4.93237,3.529,0.67775,0.69067,0.69263,0.75046,0.00381,9e-05,2e-05,0.75034,0.00301,6e-05,1e-05,3.28106,4.57143,18.4889,3.617,0,0,0,0.000816507,0.000816507,0.000816507
14,371.418,3.30682,4.48243,4.95223,3.43555,0.66291,0.67428,0.67686,0.87647,0.0008,9e-05,2e-05,0.75045,0.00281,6e-05,1e-05,3.33079,4.69901,7.33364,3.52696,0,0,0,0.000815132,0.000815132,0.000815132
15,397.186,3.2833,4.4376,5.01316,3.46684,0.65055,0.65953,0.66304,0.87814,0.0006,0.0001,2e-05,0.75074,0.0014,8e-05,2e-05,3.26639,4.65967,5.57289,3.446,0,0,0,0.000813758,0.000813758,0.000813758
16,422.925,3.19576,4.35315,4.89125,3.42156,0.63847,0.64596,0.64932,0.00031,0.02063,0.00014,4e-05,0.00025,0.01501,4e-05,1e-05,3.29996,15.8752,7.71792,3.77284,0,0,0,0.000812383,0.000812383,0.000812383
17,448.759,3.12994,4.27504,4.8238,3.36121,0.62744,0.63336,0.63693,0.75176,0.0012,0.0002,4e-05,0.75224,0.00161,0.0002,3e-05,3.24445,7.15576,5.55613,3.50993,0,0,0,0.000811009,0.000811009,0.000811009
18,474.682,3.06993,4.27278,4.8171,3.33098,0.61651,0.62134,0.62498,0.87758,0.001,0.00039,8e-05,0.87921,0.0014,0.0004,6e-05,3.20501,4.37826,5.41718,3.37357,0,0,0,0.000809634,0.000809634,0.000809634
19,500.729,3.16616,4.37812,4.84333,3.28264,0.60717,0.61089,0.6144,0.8781,0.00241,0.00077,0.00019,0.87923,0.00321,0.0012,0.00019,3.1661,4.28891,5.24936,3.27225,0,0,0,0.00080826,0.00080826,0.00080826
